City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.82,81,100,6.68,PN,1702960281
1,puerto natales,-51.7236,-72.4875,8.45,83,97,1.83,CL,1702960552
2,la mira,18.035,-102.3266,23.73,89,7,1.69,MX,1702960553
3,bethel,41.3712,-73.414,6.4,77,0,4.12,US,1702960417
4,port-aux-francais,-49.35,70.2167,6.1,74,56,12.09,TF,1702960523
5,bredasdorp,-34.5322,20.0403,17.1,62,0,2.4,ZA,1702960553
6,stanley,54.868,-1.6985,8.49,91,75,3.6,GB,1702960553
7,isafjordur,66.0755,-23.124,-2.78,84,99,2.72,IS,1702960553
8,hawaiian paradise park,19.5933,-154.9731,21.73,92,40,2.57,US,1702960553
9,wonsan,39.1528,127.4436,-2.36,66,70,0.59,KP,1702960553
10,cromer,52.9312,1.2989,12.26,99,100,2.9,GB,1702960553
11,anadyr,64.75,177.4833,-19.72,83,40,3.0,RU,1702960553
12,puerto ayora,-0.7393,-90.3518,24.75,95,47,0.89,EC,1702960286
13,chinde,26.8418,88.0763,15.93,49,12,2.51,NP,1702960553
14,klyuchi,52.2667,79.1667,-10.55,54,100,8.91,RU,1702960553
15,afaahiti,-17.75,-149.2833,25.93,81,100,3.71,PF,1702960554
16,tiksi,71.6872,128.8694,-17.62,89,100,6.04,RU,1702960554
17,ushuaia,-54.8,-68.3,11.81,71,0,7.2,AR,1702960554
18,hadibu,12.65,54.0333,25.04,78,90,6.47,YE,1702960554
19,quinhamel,11.8833,-15.85,23.73,25,100,5.06,GW,1702960554
20,waitangi,-43.9535,-176.5597,16.57,70,38,2.98,NZ,1702960554
21,luderitz,-26.6481,15.1594,17.42,66,49,7.23,NA,1702960554
22,corowa,-36.0333,146.3833,28.65,44,84,7.44,AU,1702960554
23,geraldton,-28.7667,114.6,39.23,15,6,3.6,AU,1702960554
24,port mathurin,-19.6833,63.4167,26.88,81,28,7.93,MU,1702960554
25,edinburgh of the seven seas,-37.0676,-12.3116,15.1,82,57,8.96,SH,1702960554
26,las toscas,-28.3529,-59.258,22.52,96,98,2.8,AR,1702960555
27,trelissac,45.1977,0.7862,1.71,92,4,0.63,FR,1702960555
28,grytviken,-54.2811,-36.5092,2.36,66,17,3.1,GS,1702960555
29,kailua-kona,19.6406,-155.9956,22.98,88,0,3.6,US,1702960555
30,punta arenas,-53.15,-70.9167,10.06,81,0,6.69,CL,1702960555
31,novodvinsk,64.4165,40.8122,-3.14,97,98,1.91,RU,1702960555
32,saint-philippe,-21.3585,55.7679,29.77,76,0,1.81,RE,1702960555
33,yeppoon,-23.1333,150.7333,30.88,63,7,5.47,AU,1702960555
34,happy valley-goose bay,53.3168,-60.3315,9.17,76,100,10.29,CA,1702960555
35,santana,-0.0583,-51.1817,27.1,83,0,1.54,BR,1702960555
36,broken hill,-31.95,141.4333,29.26,28,49,10.16,AU,1702960555
37,qaqortoq,60.7167,-46.0333,-4.31,76,100,4.62,GL,1702960556
38,jamaame,0.0697,42.745,28.59,69,96,5.82,SO,1702960556
39,coquimbo,-29.9533,-71.3436,15.85,82,75,1.03,CL,1702960306
40,lata,40.1629,-8.3327,3.66,73,0,1.34,PT,1702960556
41,kavieng,-2.5744,150.7967,28.72,72,100,2.74,PG,1702960556
42,oamaru,-45.0784,170.9801,19.1,72,83,5.52,NZ,1702960380
43,saldanha,-33.0117,17.9442,12.03,74,1,6.1,ZA,1702960556
44,new norfolk,-42.7826,147.0587,16.72,52,68,2.09,AU,1702960556
45,invercargill,-46.4,168.35,19.06,47,93,3.05,NZ,1702960505
46,bonthe,7.5264,-12.505,22.78,70,79,2.28,SL,1702960556
47,bilibino,68.0546,166.4372,-32.23,98,100,0.59,RU,1702960556
48,port lincoln,-34.7333,135.8667,17.27,56,1,8.69,AU,1702960556
49,ancud,-41.8697,-73.8203,10.28,66,0,2.71,CL,1702960556
50,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,83,20,4.02,RU,1702960557
51,albany,42.6001,-73.9662,4.94,80,60,0.89,US,1702960557
52,ust'-kulom,61.6864,53.6902,-5.02,94,98,2.98,RU,1702960557
53,tamanrasset,22.785,5.5228,-1.05,31,0,1.03,DZ,1702960557
54,blackmans bay,-43.0167,147.3167,16.07,63,84,5.22,AU,1702960557
55,reggane,26.7158,0.1714,8.14,52,0,3.72,DZ,1702960557
56,tura,25.5198,90.2201,23.18,50,18,0.18,IN,1702960557
57,iqaluit,63.7506,-68.5145,-29.42,85,7,2.93,CA,1702960557
58,sur,22.5667,59.5289,23.23,56,15,2.56,OM,1702960557
59,mammoth lakes,37.6485,-118.9721,4.63,66,40,4.12,US,1702960557
60,jamestown,42.097,-79.2353,1.77,95,100,8.75,US,1702960557
61,whitehorse,60.7161,-135.0538,-12.88,82,75,1.03,CA,1702960557
62,tual,-5.6667,132.75,28.45,80,58,7.71,ID,1702960558
63,haiku-pauwela,20.9219,-156.3051,22.8,77,40,7.72,US,1702960558
64,minas de marcona,-15.2119,-75.1103,15.52,91,70,4.88,PE,1702960558
65,uturoa,-16.7333,-151.4333,26.54,80,99,3.6,PF,1702960558
66,isangel,-19.55,169.2667,27.06,94,75,2.06,VU,1702960558
67,samitah,16.596,42.9444,24.39,56,0,0.93,SA,1702960558
68,anzio,41.4853,12.6179,9.52,52,3,3.0,IT,1702960558
69,weno,7.4515,151.8468,30.97,70,40,5.66,FM,1702960558
70,quellon,-43.1167,-73.6167,9.66,85,0,4.98,CL,1702960558
71,alibag,18.6411,72.8792,27.04,43,100,3.57,IN,1702960558
72,tulun,54.5611,100.5792,-25.27,94,67,0.94,RU,1702960558
73,santa marta de ortigueira,43.6833,-7.85,8.01,78,11,3.35,ES,1702960558
74,badiyah,22.45,58.8,20.33,46,0,0.61,OM,1702960558
75,batman,37.8874,41.1322,-1.11,93,0,0.51,TR,1702960559
76,margaret river,-33.95,115.0667,26.03,38,4,3.7,AU,1702960559
77,port elizabeth,-33.918,25.5701,19.62,83,20,1.54,ZA,1702960559
78,inhambane,-23.865,35.3833,26.99,89,40,2.06,MZ,1702960559
79,ishikawa,26.4233,127.8214,25.18,61,75,5.14,JP,1702960559
80,collie,-33.3667,116.15,30.11,21,3,3.92,AU,1702960559
81,hasaki,35.7333,140.8333,8.22,83,100,5.64,JP,1702960559
82,gejiu,23.306,103.1635,12.66,68,82,2.76,CN,1702960559
83,san antonio de pale,-1.4014,5.6325,27.33,78,98,3.08,GQ,1702960559
84,sesheke,-17.4759,24.2968,21.37,86,100,0.65,ZM,1702960559
85,le trait,49.4689,0.8163,7.75,94,99,4.73,FR,1702960559
86,sisak,45.4661,16.3783,-4.01,82,0,0.49,HR,1702960559
87,qamdo,31.1667,97.2333,-2.35,24,3,3.07,CN,1702960559
88,hithadhoo,-0.6,73.0833,27.66,77,42,2.81,MV,1702960560
89,ngaoundere,7.3167,13.5833,18.5,29,99,1.75,CM,1702960560
90,kerikeri,-35.2268,173.9474,21.04,71,44,2.5,NZ,1702960560
91,nova mayachka,46.6,33.2271,5.92,88,100,1.59,UA,1702960560
92,bubaque,11.2833,-15.8333,26.56,42,94,8.97,GW,1702960560
93,hermanus,-34.4187,19.2345,15.45,72,0,4.14,ZA,1702960560
94,avarua,-21.2078,-159.775,26.03,78,75,6.69,CK,1702960533
95,st. john's,47.5649,-52.7093,9.32,92,75,9.77,CA,1702960387
96,jackson,42.4165,-122.8345,10.21,81,84,1.97,US,1702960399
97,kununurra,-15.7667,128.7333,40.99,37,52,3.6,AU,1702960286
98,ojinaga,29.5667,-104.4167,15.53,38,0,3.6,MX,1702960560
99,opuwo,-18.0607,13.84,24.07,56,100,3.09,NA,1702960560
100,ilulissat,69.2167,-51.1,-9.99,79,100,6.69,GL,1702960560
101,necochea,-38.5473,-58.7368,11.27,64,2,5.1,AR,1702960560
102,mariakani,-3.8633,39.4736,24.05,79,39,1.51,KE,1702960561
103,nova sintra,14.8667,-24.7167,21.14,69,13,5.41,CV,1702960561
104,kzyltu,53.6364,72.3414,-4.03,96,100,4.88,KZ,1702960561
105,ribeira grande,38.5167,-28.7,13.76,92,100,12.07,PT,1702960561
106,shanhecun,44.7,127.2,-17.36,76,100,2.86,CN,1702960374
107,senillosa,-39.0,-68.4167,16.88,31,33,9.33,AR,1702960561
